"id","user_id","food_log_id","foodlog_item_id","item_id","food_time","food_type","as_ingradient","energy","protein","carbohydrate","lipid_fat","item_unit","item_quantity","created_by","updated_by","deleted_by","is_active","is_deleted","created_on","updated_on","deleted_on"
"1","822","6190","238659","241428","3","food_item","No","110","0","0","11","2 tbsp - 28.0 g","1.0","820","0","0","1","0","1596180451",,
"2","5","6364","238521","271","1","recipe","No","104","2.3","27.4","0","Ml","350","7","0","0","1","0","1596742650",,
"13","840","6401","241428","241625","1","food_item","No","90","8.0","0.0","6.0","1 egg - 63.000","1.0","866","0","0","1","0","1596840746",,
"14","5","7192","238521","238524","1","food_item","Yes","86","8.0","12.0","0.0","1 cup - 245.000","1.0","7","0","0","1","0","1598924002",,
"15","5","7191","239683","239567","1","food_item","No","190","4.0","21.0","10.0","1 piece - 71.000","1.0","7","0","0","1","0","1598964148",,
"17","821","7279","239785","238659","5","food_item","No","0","0","0","0","Gm","1.0","820","0","0","1","0","1599025826",,
"18","821","7280","238673","238660","1","food_item","No","1","0.0","0.1","0.1","g - 1","1.0","820","0","0","1","0","1599026291",,
"21","821","7281","241765","240138","2","food_item","No","0","0","0","0","Oz - 28g","1.0","820","0","0","1","0","1599046018",,
"22","821","7278","238664","241750","4","food_item","No","230","11","9","17","1/2 package - 142.5","1.0","820","0","0","1","0","1599051503",,
"23","44","7389","238579","620","1","recipe","No","41","0.7","10.9","0.0","Gm - 155","155.0","276","0","0","1","0","1599278147",,
"24","5","9957","240490","557","1","recipe","No","79","1.3","11.4","4.0","Gm","1.0","7","0","0","1","0","1604811880",,
"25","2709","9974","238581","242183","3","food_item","No","140","4","25","3","1 breadstick - 1.0 g","1.0","933","0","0","1","0","1604823582",,
"32","5","10082","240211","734","1","recipe","No","53","2.6","7.2","1.6","Gm","1.0","7","0","0","1","0","1605016686",,
"34","5","10555","239452","239422","1","food_item","No","96","1.0","26.0","0.0","1 cup slices","1.0","7","0","0","1","0","1605707428",,
"36","5","10553","240081","240369","1","food_item","Yes","478","6.0","20.0","42.0","1 cup","2.0","7","0","0","1","0","1605707528",,
"37","415","13111","242024","761","1","recipe","No","267","12.0","35.7","9.0","Ml","250.0","7","0","0","1","0","1609448911",,
"38","415","13112","239409","239409","1","food_item","No","104","1.0","26.7","0.5","1 medium (7"" to 7-7/8"" long)","1.0","7","0","0","1","0","1609448944",,
"39","415","13282","242721","239779","1","food_item","No","27","0.0","7.5","0.0","g","10.0","7","0","0","1","0","1609598805",,
"40","50","13266","238659","491","1","recipe","No","73","1.5","12.3","2.5","Gm","250.0","7","0","0","1","0","1609598890",,
"41","50","13280","176","95","1","recipe","No","173","7.8","23.5","4.6","Gm","200.0","7","0","0","1","0","1609599759",,
"42","50","13298","241598","67","1","recipe","No","159","9.4","26.5","1.2","Gm","100.0","7","0","0","1","0","1609611466",,
"43","415","13482","242751","555","1","recipe","No","133","4.0","11.0","8.3","Gm","80.0","7","0","0","1","0","1609862180",,
"44","415","13487","242753","461","1","recipe","No","31","1.1","5.6","0.3","Gm","52.0","7","0","0","1","0","1609862242",,
"45","415","13597","396","241319","1","food_item","Yes","20","1.3","0.1","1.7","g","5.0","7","0","0","1","0","1610025965",,
"46","415","13598","239772","239772","1","food_item","No","23","0.6","5.8","0.0","g - 1 g","50.0","7","0","0","1","0","1610040845",,
"47","50","13604","239578","763","1","recipe","No","596","38.2","103.8","6.5","ml","250","7","0","0","1","0","1610044237",,
"52","415","13797","13","242795","1","food_item","No","130","1.0","15.0","8.0","1 cookie - 28.000 g","1.0","7","0","0","1","0","1610390548",,
"53","4503","13812","260","192","2","recipe","No","388","11","48","3","gm","150","933","0","0","1","0","1610390779",,
"58","4645","13870","305","238580","1","food_item","No","52","2.0","9.0","1.0","1 thin slice - 20.000 g","1.0","4580","0","0","1","0","1610459211",,
"61","4645","13872","773","774","1","recipe","No","161","8.0","9.4","10.4","G - 100","100.0","4580","0","0","1","0","1610713476",,
"62","4645","13871","772","774","1","recipe","No","161","8.0","9.4","10.4","G - 100","100.0","4580","0","0","1","0","1610713556",,
"63","4743","14015","305","242852","1","food_item","No","1","0.0","0.0","0.0","1 fl oz - 29.600 g","1.0","4751","0","0","1","0","1610714195",,
"64","4743","14016","777","772","1","recipe","No","231","16.3","29.6","5.6"," - 250","250.0","4751","0","0","1","0","1610714225",,
"65","4939","14160","305","782","1","recipe","No","480","16.7","81.6","13.0","G - 250","250.0","4580","0","0","1","0","1611122062",,
"66","415","14704","239409","239794","1","food_item","No","105","1.2","26.9","0.0","1 medium (7"" to 7-7/8"" long) - 118.000 g","1.0","7","0","0","1","0","1612648251",,
"67","4719","14772","426","511","1","recipe","No","171","9.4","28.7","5.1","Gm","40","4580","0","0","1","0","1612849905",,
"68","5","15203","239639","243092","1","food_item","Yes","50","0","0","5.5","Gm","7","4843","0","0","1","0","1614660105",,
"69","5","15203","239806","240017","1","food_item","Yes","7.5","0.6","1.5","0","Gm","30","4843","0","0","1","0","1614660260",,
"70","5","15203","239554","539","1","recipe","Yes","211","14.1","38","1","Gm","60","7","0","0","1","0","1614660562",,
"71","5","15205","239409","239412","4","food_item","No","55.12","0","14.42","0","1 small (2-1/2"" dia) (approx 4 per lb) - 106.0 g","1.0","4843","0","0","1","0","1614660585",,
"74","5","15218","239794","539","1","recipe","No","70","4.7","12.7","0.3","Gm - 60","60.0","7","0","0","1","0","1614828733",,
"75","5","15223","239589","576","1","recipe","No","112","4.1","13.2","3.4","Gm - 150","150.0","7","0","0","1","0","1614828742",,
"77","5","15210","240044","239901","4","food_item","No","70","1","6","5","2 pieces - 13.0 g","1.0","4843","0","0","1","0","1614867401",,
"78","5377","15233","284","283","3","recipe","No","738","48","115.6","8","Gm","60","933","0","0","1","0","1614874649",,
"79","5","15261","239409","663","4","recipe","No","33","0.8","7.8","0","Ml","200","4843","0","0","1","0","1614915666",,
"80","5","15266","238663","489","3","recipe","No","883","58","156.8","7.9","Gm","100","4843","0","0","1","0","1614915789",,
"81","5","15265","238669","243118","3","food_item","No","115","2","9","8","1 serving - 1.0 serving","1.0","4843","0","0","1","0","1614916053",,
"82","5","15269","203","243119","5","food_item","No","70","2","12","1","2 slices - 18.0 g","1.0","4843","0","0","1","0","1614919519",,
"83","5","15376","239409","239211","2","food_item","No","0","0","0","0","1 teacup (6 fl oz) - 178.0 g","1.0","4843","0","0","1","0","1615167765",,
"84","5","15380","238663","489","3","recipe","No","883","58","156.8","7.9","Gm","100","4843","0","0","1","0","1615167816",,
"85","5","15379","89","815","3","recipe","No","182.5","4","15","13","gm","0","4843","0","0","1","0","1615167860",,
"86","5","15335","240941","243082","2","food_item","No","96","3","22","1","1 ear, small (5-1/2"" to 6-1/2"" long) - 89.0 g","1.0","4843","0","0","1","0","1615167961",,
"87","5","15334","820","239125","4","food_item","No","41.61","1.52","1.44","3.64","1 almond - 1.2 g","6","4843","0","0","1","0","1615168084",,
"88","5","15329","820","240371","5","food_item","No","54.34","0.92","13.82","0","1 cup cubed - 140.0 g","1.0","4843","0","0","1","0","1615168144",,
"89","5","15331","203","238580","5","food_item","No","135.2","5.2","23.4","2.6","1 regular slice - 26.0 g","2","4843","0","0","1","0","1615168185",,
"90","5","15330","172","275","5","recipe","No","59","6.5","14.1","0","Gm","100","4843","0","0","1","0","1615168221",,
"91","5","15375","175","239042","1","food_item","No","290","8","39","11","1 piece - 85.0 g","1.0","4843","0","0","1","0","1615168384",,
"92","5","15424","239409","240371","4","food_item","No","54.34","0.92","13.82","0","1 cup cubed - 140.0 g","1.0","4843","0","0","1","0","1615260596",,
"93","5","15427","572","241759","3","food_item","No","149","4","27","3","1 serving - 40.0 g","1.0","4843","0","0","1","0","1615260645",,
"94","4719","15475","175","863","3","recipe","No","289.91","4.82","53.23","7.7","g","100","4580","0","0","1","0","1615353685",,
"95","4719","15480","283","175","4","recipe","No","113","4.2","21.9","0.6","Gm","41","4580","0","0","1","0","1615356305",,
"96","4719","15481","377","863","4","recipe","No","289.91","4.82","53.23","7.7","g","100","4580","0","0","1","0","1615380852",,
"97","5","15508","171","653","5","recipe","No","23","0.6","6.3","0","Gm","20","4843","0","0","1","0","1615432252",,
"98","5","15557","243070","240371","4","food_item","No","59","1","15","0","1 small (4-1/2"" long x 2-3/4"" dia) - 152.0 g","1.0","4843","0","0","1","0","1615522780",,
"99","5","15705","240691","243224","5","food_item","No","8.75","0","0.5","0.81","gm - 1g","2","4843","0","0","1","0","1615778974",,
"100","5","15712","175","238580","5","food_item","No","67.6","2.6","11.7","1.3","1 regular slice - 26.0 g","1.0","4843","0","0","1","0","1615779021",,
"101","5","15753","243231","240691","5","food_item","No","13.35","0.01","0.63","1.23","gm - 1g","3","4843","0","0","1","0","1615860822",,
"103","5","15870","239519","551","2","recipe","No","329","4.5","80.9","1.4","Gm","150","4843","0","0","1","0","1616122479",,
"104","5","15908","239348","239125","1","food_item","No","41.61","1.52","1.44","3.64","1 almond - 1.2 g","6","4843","0","0","1","0","1616210710",,
"105","5","15907","239519","239423","3","food_item","No","55","1","14","0","1 cup cubed - 140.0 g","1.0","4843","0","0","1","0","1616210773",,
"106","5","15917","239348","302","4","recipe","No","19","0.8","3.9","0","Gm","20","4843","0","0","1","0","1616210818",,
"107","5","16252","243049","302","3","recipe","No","19","0.8","3.9","0","Gm","20","4843","0","0","1","0","1617329197",,
"108","5500","16322","241580","238586","1","food_item","No","90","5.0","19.0","1.0","2 slices - 44.000 g","1.0","7","0","0","1","0","1617540173",,
"109","5500","16321","238629","82","1","recipe","No","263","24.1","29.0","3.0","Gm - 150","150.0","7","0","0","1","0","1617540238",,
"110","5500","16320","242076","239125","1","food_item","No","34","1.3","1.2","3.0","1 almond - 1.200 g","5.0","7","0","0","1","0","1617540293",,
"111","415","16436","241854","239413","3","food_item","No","45.4","0.99","11.84","0","1 cup diced - 152.0 g","1.0","4843","0","0","1","0","1617715555",,
"112","415","16445","240863","239423","5","food_item","No","55","1","14","0","1 cup cubed - 140.0 g","1.0","4843","0","0","1","0","1617759461",,
"141","4719","16531","283","175","1","recipe","No","113","4.2","21.9","0.6","Gm","40","4580","0","0","1","0","1618334289",,
"142","4719","16671","335","863","3","recipe","No","289.91","4.82","53.23","7.7","g","100","4580","0","0","1","0","1618334687",,
"143","4719","16767","377","863","1","recipe","No","289","4.8","53.2","7.7","G - 100","100.0","4580","0","0","1","0","1618916936",,
"144","4719","17147","335","863","1","recipe","No","289.91","4.82","53.23","7.7","g","100","4580","0","0","1","0","1619437187",,
"145","6321","18557","243908","241143","4","food_item","No","35","1.5","2","3","gm - 1g","7","4843","0","0","1","0","1620610334",,
"146","6321","18558","239794","240371","4","food_item","No","59","1","15","0","1 small (4-1/2"" long x 2-3/4"" dia) - 152.0 g","1.0","4843","0","0","1","0","1620610372",,
"147","6321","18544","243908","240822","2","food_item","No","44.33","2.33","0.23","3.73","gm - 1g","7","4843","0","0","1","0","1620612018",,
"148","5","20124","376","243154","3","food_item","No","7.5","0","1","0.5","gm - 1g","10","4843","0","0","1","0","1621563744",,
"149","6321","17696","243650","239901","5","food_item","No","70","1","6","5","2 pieces - 13.0 g","1.0","4843","0","0","1","0","1622559177",,
"150","5","21090","88","941","5","recipe","No","0","0","0","0","ml","150","4843","0","0","1","0","1622724265",,
"151","5","21090","88","243603","5","food_item","No","0","0","0","0","1 teacup (6 fl oz) - 178.0 g","1.0","4843","0","0","1","0","1622724381",,
"154","6321","21080","239383","947","2","recipe","No","291.27","21.51","12.56","17.6","g","100","4843","0","0","1","0","1622724553",,
"155","5","21242","431","576","1","recipe","No","450","16.4","52.9","13.4","Gm","150","4843","0","0","1","0","1623071618",,
"156","5","21239","238521","242289","2","food_item","No","62.7","4.92","7.38","1.23","gm - 1g","150","4843","0","0","1","0","1623071662",,
"157","5","21261","239708","239901","4","food_item","No","70","1","6","5","2 pieces - 13.0 g","1.0","4843","0","0","1","0","1623071710",,
"158","5","21263","13","697","5","recipe","No","6","0.3","1","0.3","Ml","100","4843","0","0","1","0","1623071759",,
"159","5","21260","241043","239423","5","food_item","No","55","1","14","0","1 cup cubed - 140.0 g","1.0","4843","0","0","1","0","1623071775",,
"160","5","21306","238963","239125","4","food_item","No","34.67","1.26","1.2","3.03","1 almond - 1.2 g","5","4843","0","0","1","0","1623120253",,
"162","5","21344","244495","302","4","recipe","No","19","0.8","3.9","0","Gm","20","4843","0","0","1","0","1623206367",,
"163","5","21417","238521","238524","4","food_item","No","52.65","4.9","7.35","0","gm - 1g","150","4843","0","0","1","0","1623293783",,
"164","5","21393","240234","239412","1","food_item","No","65","0","17","0","1 cup quartered or chopped - 125.0 g","1.0","4843","0","0","1","0","1623293872",,
"165","5","21906","492","238580","5","food_item","No","52","2","9","1","1 thin slice - 20.0 g","1.0","4843","0","0","1","0","1624367184",,
"166","5","21891","239409","239413","2","food_item","No","46","1","12","0","1 cup balls - 154.0 g","1.0","4843","0","0","1","0","1624367274",,
"167","5","21892","366","211","1","recipe","No","318.78","9.57","32.57","10","gm","100","4843","0","0","1","0","1624367331",,
"168","5","21944","239348","302","1","recipe","No","19","0.8","3.9","0","Gm","20","4843","0","0","1","0","1624500502",,
"169","5","22088","239409","239412","4","food_item","No","65","0","17","0","1 cup quartered or chopped - 125.0 g","1.0","4843","0","0","1","0","1625190644",,
"170","5","22303","239348","302","5","recipe","No","19","0.8","3.9","0","Gm","20","4843","0","0","1","0","1625626042",,
"172","5","22799","238521","242289","1","food_item","No","43.11","3.38","5.07","0.85","100 ml - 103.133 g","1.0","4843","0","0","1","0","1626748924",,
"173","5","22816","133","175","3","recipe","No","113","4.2","21.9","0.6","Gm","40","4843","0","0","1","0","1626748965",,
"174","5","22914","239409","239423","4","food_item","No","55","1","14","0","1 cup cubed - 140.0 g","1.0","4843","0","0","1","0","1626832466",,
"175","4829","22934","240491","302","2","recipe","No","19","0.8","3.9","0","Gm","20","4843","0","0","1","0","1626881162",,
"176","5","23049","239448","175","5","recipe","No","113","4.2","21.9","0.6","Gm","40","4843","0","0","1","0","1627099503",,
"177","5","23504","258","631","3","recipe","No","120","23","7","0","Ml","200","4843","0","0","1","0","1629086882",,
"178","5","23521","238963","239125","5","food_item","No","34.67","1.26","1.2","3.03","1 almond - 1.2 g","5","4843","0","0","1","0","1629291954",,
"179","5","23520","238521","238524","5","food_item","No","86","8","12","0","1 cup - 245.0 g","1.0","4843","0","0","1","0","1629291994",,
"180","5","23928","258","631","2","recipe","No","120","23","7","0","Ml","200","4843","0","0","1","0","1631157522",,
"181","5","23972","240344","241171","4","food_item","No","75","1","11.5","3","4 cookies - 31.0 g","0.5","4843","0","0","1","0","1631275605",,
"184","5","24164","175","175","1","recipe","No","113","4.2","21.9","0.6","Gm","40","4843","0","0","1","0","1631804832",,
"185","5","24540","239683","243075","1","food_item","No","35.71","0","0","3.93","gm - 1g","5","4843","0","0","1","0","1632970302",,
"186","5","24547","239409","239942","4","food_item","No","30.5","1","6.5","0.5","1 common - 90.0 g","0.5","4843","0","0","1","0","1632970359",,
"188","5","24760","239749","239806","5","food_item","Yes","58.5","4","10.5","0.5","1 cup - 145.0 g","0.5","4843","0","0","1","0","1633404170",,
"189","602","24775","244543","302","3","recipe","No","19","0.8","3.9","0","Gm","30","4843","0","0","1","0","1633404236",,
"190","5","25087","238532","238521","1","food_item","No","51","3.4","4.6","2.1","100 ml - 103.133 g","1.0","7","0","0","1","0","1635106062",,
"191","5","25354","239409","239772","3","food_item","No","61.86","1.46","15.28","0","1 fruit (2-5/8"" dia) - 131.0 g","1.0","4843","0","0","1","0","1636510058",,
"192","13978","31824","240786","246451","1","food_item","Yes","50","0.0","12.0","0.0","1 cup - 4.000 oz","1.0","13981","0","0","1","0","1697000584",,
"193","13978","31824","242687","1074","1","recipe","Yes","308","9.3","68.0","1.8"," - 250","250.0","13981","0","0","1","0","1697000631",,
"194","13978","31824","242687","240075","1","food_item","Yes","4","0.1","1.0","0.0","1 slice - 7.000 g","1.0","13981","0","0","1","0","1697000680",,
"195","14045","32285","240395","240395","1","food_item","Yes","98","2.0","23.0","0.0","1 cup - 27.000 g","1.0","7","0","0","1","0","1702965779",,
"196","14045","32285","239466","238962","1","food_item","Yes","87","2.6","4.8","7.4","g - 1 g","15.0","7","0","0","1","0","1702965820",,
