recipe_id,recipe_name,recipeSummary,num_of_serving,serving_size,item_unit,recipe_weight,recipe_type_id,recipe_notes,prepare_time,description,total_carbohydrate,total_protein,total_energy,total_lipid_fat,recipe_image,food_type,micronutrient
RP100000,Vegan Lentil Soup,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,8,130,gm,840,198,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,25 min,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,6.52,38.23,1458,5.69,https://placekitten.com/129/512,recipe,
RP100001,Spaghetti Bolognese,Hearty vegan lentil soup packed with vegetables and aromatic spices.,5,150,gm,160,70,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",25 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",116.88,76.41,392,42.42,https://placekitten.com/956/47,recipe,
RP100002,Beef Tacos,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",9,110,ml,220,167,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,5 min,Hearty vegan lentil soup packed with vegetables and aromatic spices.,248.96,31.59,595,36.28,https://placekitten.com/700/104,recipe,
RP100003,Mushroom Risotto,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",6,220,gm,840,187,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",25 min,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,271.59,5.02,911,4.98,https://placekitten.com/143/77,recipe,
RP100004,Spaghetti Bolognese,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",3,220,ml,1000,31,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,10 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",92.84,40.96,896,39.35,https://dummyimage.com/534x7,recipe,
RP100005,Margherita Pizza,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",8,130,gm,220,197,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,15 min,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",65.95,29.09,1129,33.79,https://placekitten.com/393/71,recipe,
RP100006,Vegan Lentil Soup,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,4,110,gm,220,19,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,25 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",207.17,29.18,352,6.07,https://dummyimage.com/503x6,recipe,
RP100007,Chicken Caesar Salad,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",9,110,ml,1000,42,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,5 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",126.14,11.71,1328,43.81,https://placekitten.com/752/630,recipe,
RP100008,Vegetarian Stir-Fry,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,1,160,gm,220,106,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",5 min,Hearty vegan lentil soup packed with vegetables and aromatic spices.,138.19,71.23,390,29.2,https://dummyimage.com/384x378,recipe,
RP100009,Vegan Lentil Soup,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",1,110,gm,640,13,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,30 min,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,75.44,72.85,1431,10.21,https://picsum.photos/865/105,recipe,
RP100010,Grilled Salmon with Lemon,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,7,200,gm,200,44,Hearty vegan lentil soup packed with vegetables and aromatic spices.,10 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",78.09,47.35,916,48.36,https://dummyimage.com/606x484,recipe,
RP100011,Beef Tacos,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,7,220,gm,1000,139,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,5 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",274.23,42.81,882,19.18,https://picsum.photos/1007/659,recipe,
RP100012,Grilled Salmon with Lemon,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,3,220,ml,840,137,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",30 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",110.41,12.76,639,37.56,https://placekitten.com/263/272,recipe,
RP100013,Vegan Lentil Soup,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",2,160,ml,360,162,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",10 min,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,289.9,26.28,754,29.99,https://dummyimage.com/735x563,recipe,
RP100014,Chicken Caesar Salad,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",5,160,gm,360,48,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,10 min,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",30.17,34.23,1416,1.53,https://picsum.photos/425/730,recipe,
RP100015,Margherita Pizza,Hearty vegan lentil soup packed with vegetables and aromatic spices.,4,210,ml,640,25,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",5 min,Hearty vegan lentil soup packed with vegetables and aromatic spices.,271.97,25.56,1275,13.07,https://picsum.photos/485/381,recipe,
RP100016,Vegetarian Stir-Fry,Hearty vegan lentil soup packed with vegetables and aromatic spices.,3,220,gm,200,164,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,10 min,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,256.19,58.88,305,24.31,https://placekitten.com/160/458,recipe,
RP100017,Chicken Caesar Salad,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",6,200,ml,1000,49,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,30 min,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,189.74,14.14,682,43.06,https://dummyimage.com/372x114,recipe,
RP100018,Margherita Pizza,Hearty vegan lentil soup packed with vegetables and aromatic spices.,7,110,gm,840,141,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",30 min,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,93.3,65.53,1071,45.45,https://dummyimage.com/389x331,recipe,
RP100019,Shrimp Scampi,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,3,220,ml,360,47,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,5 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",286.62,71.26,1436,14.48,https://dummyimage.com/904x977,recipe,
RP100020,Shrimp Scampi,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,10,110,ml,200,129,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",30 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",112.78,63.75,356,18.84,https://picsum.photos/65/1008,recipe,
RP100021,Grilled Salmon with Lemon,Hearty vegan lentil soup packed with vegetables and aromatic spices.,10,110,gm,200,67,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",30 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",128.06,56.06,1236,14.94,https://placekitten.com/860/188,recipe,
RP100022,Chicken Alfredo Pasta,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,2,220,gm,200,175,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",5 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",82.58,68.38,416,27.25,https://placekitten.com/786/134,recipe,
RP100023,Mushroom Risotto,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,5,210,gm,360,104,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,10 min,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,98.96,10.78,722,6.33,https://picsum.photos/331/644,recipe,
RP100024,Chicken Caesar Salad,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",8,200,gm,200,191,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",25 min,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,232.19,47.4,913,44.25,https://placekitten.com/123/49,recipe,
RP100025,Vegetarian Stir-Fry,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",7,220,gm,160,77,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,5 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",228.95,28.67,487,37.37,https://picsum.photos/933/106,recipe,
RP100026,Beef Tacos,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",9,160,ml,220,170,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,10 min,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,209.73,63.41,901,23.0,https://placekitten.com/521/16,recipe,
RP100027,Chicken Caesar Salad,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,7,130,gm,840,175,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,10 min,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,264.25,7.31,1225,42.7,https://placekitten.com/804/919,recipe,
RP100028,Beef Tacos,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",2,130,ml,840,118,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",5 min,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",16.77,24.47,1131,26.64,https://picsum.photos/937/325,recipe,
RP100029,Spaghetti Bolognese,Hearty vegan lentil soup packed with vegetables and aromatic spices.,5,210,gm,640,145,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,30 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",147.79,76.8,480,18.02,https://picsum.photos/777/704,recipe,
RP100030,Vegan Lentil Soup,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",7,110,ml,840,144,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,30 min,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,232.38,7.48,1231,17.68,https://placekitten.com/271/584,recipe,
RP100031,Mushroom Risotto,Hearty vegan lentil soup packed with vegetables and aromatic spices.,2,220,gm,160,103,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,30 min,Hearty vegan lentil soup packed with vegetables and aromatic spices.,176.24,37.92,785,21.2,https://dummyimage.com/164x112,recipe,
RP100032,Beef Tacos,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,9,150,ml,360,59,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",10 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",279.13,43.71,371,49.18,https://dummyimage.com/653x320,recipe,
RP100033,Grilled Salmon with Lemon,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,2,210,gm,360,82,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,25 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",250.94,8.03,327,26.61,https://placekitten.com/80/561,recipe,
RP100034,Beef Tacos,Hearty vegan lentil soup packed with vegetables and aromatic spices.,7,150,gm,640,179,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,5 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",105.23,33.94,1374,16.47,https://dummyimage.com/572x897,recipe,
RP100035,Shrimp Scampi,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,2,150,gm,160,40,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,30 min,Hearty vegan lentil soup packed with vegetables and aromatic spices.,253.34,12.14,576,35.89,https://dummyimage.com/582x706,recipe,
RP100036,Shrimp Scampi,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,3,220,gm,640,77,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,30 min,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,36.35,0.71,1238,18.8,https://dummyimage.com/936x202,recipe,
RP100037,Chicken Alfredo Pasta,Hearty vegan lentil soup packed with vegetables and aromatic spices.,9,160,ml,220,110,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",15 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",244.8,76.08,504,45.23,https://picsum.photos/422/723,recipe,
RP100038,Mushroom Risotto,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",10,160,gm,220,166,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,25 min,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,54.3,79.36,1031,46.13,https://picsum.photos/537/534,recipe,
RP100039,Margherita Pizza,Hearty vegan lentil soup packed with vegetables and aromatic spices.,3,150,ml,640,126,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,15 min,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,137.65,48.9,572,23.39,https://picsum.photos/634/188,recipe,
RP100040,Grilled Salmon with Lemon,Hearty vegan lentil soup packed with vegetables and aromatic spices.,3,220,gm,360,112,Hearty vegan lentil soup packed with vegetables and aromatic spices.,25 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",294.63,6.34,1172,43.92,https://picsum.photos/812/145,recipe,
RP100041,Chicken Alfredo Pasta,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",4,220,ml,840,58,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",25 min,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,202.29,61.46,451,4.84,https://dummyimage.com/657x657,recipe,
RP100042,Chicken Alfredo Pasta,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",1,200,ml,160,150,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,30 min,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,210.59,27.8,346,9.77,https://picsum.photos/728/957,recipe,
RP100043,Vegan Lentil Soup,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",6,210,gm,1000,12,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,15 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",292.09,68.93,1108,6.37,https://dummyimage.com/977x563,recipe,
RP100044,Grilled Salmon with Lemon,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",4,210,ml,360,39,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",15 min,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",193.69,41.17,466,38.98,https://dummyimage.com/144x342,recipe,
RP100045,Vegetarian Stir-Fry,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",10,200,gm,360,123,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,5 min,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,87.68,58.18,959,10.68,https://dummyimage.com/656x53,recipe,
RP100046,Spaghetti Bolognese,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,9,160,gm,160,44,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",5 min,Hearty vegan lentil soup packed with vegetables and aromatic spices.,111.52,2.28,1395,7.31,https://dummyimage.com/569x613,recipe,
RP100047,Margherita Pizza,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",8,110,ml,200,141,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",30 min,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",113.12,59.62,1148,1.64,https://dummyimage.com/562x813,recipe,
RP100048,Chicken Alfredo Pasta,Hearty vegan lentil soup packed with vegetables and aromatic spices.,5,220,ml,220,151,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,10 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",19.45,1.04,809,6.04,https://picsum.photos/356/312,recipe,
